Date,Price,High,Low,Open,Volume
1996-01-01,8.987899780273438,9.010453993090403,8.866106571334697,8.976622673864954,10242229
1996-01-02,8.820998191833496,9.010454822882478,8.798443976939465,8.97662350054143,16954313
1996-01-03,8.823253631591797,9.02173163563023,8.798443689534011,8.820997903691298,13514114
1996-01-04,8.543581008911133,8.683417763712374,8.345102218709503,8.683417763712374,34785820
1996-01-05,8.374422073364258,8.480427493656153,8.288715905691035,8.439830520842667,30138033
1996-01-08,8.06091594696045,8.345100073554283,7.988742626197143,8.322546629139314,36752157
1996-01-09,8.02257251739502,8.090235909933005,7.894012914405762,7.894012914405762,36964108
1996-01-10,7.9797210693359375,8.17594332919555,7.894014143194067,8.022573766195014,35923053
1996-01-11,8.166922569274902,8.207520307707078,7.9571674596733395,7.984232363224152,27719296
1996-01-12,8.135345458984375,8.295481436258692,8.085725579807713,8.166921815388783,31593194
1996-01-15,8.067683219909668,8.18045505122793,8.04963969625027,8.085725977357182,13352034
1996-01-16,8.051896095275879,8.119558739980338,7.9887441403093264,8.06768389246453,19465667
1996-01-17,7.778987884521484,8.042874331658664,7.736135184740157,7.984232303018915,25512510
1996-01-18,7.614340305328369,7.724856399748702,7.488036416337081,7.670725833233083,31930712
1996-01-19,7.548934459686279,7.64140704492245,7.488037468026791,7.521868789521205,20078367
1996-01-22,7.627874374389648,7.697792746804501,7.544423166600328,7.623363684668807,15288982
1996-01-23,7.325645446777344,7.659449490902218,7.217385069169981,7.566977675650933,16752158
1996-01-24,7.226407051086426,8.295482679114501,7.104614594997103,7.3256460580962095,20708877
1996-01-25,7.07078218460083,7.24219528572517,7.025673756067239,7.217385343546925,15920383
1996-01-26,7.07078218460083,7.07078218460083,7.07078218460083,7.07078218460083,0
1996-01-29,7.393308639526367,7.442927754350449,6.994096928325711,6.994096928325711,32353724
1996-01-30,7.456460952758789,7.668471000977766,7.307602083887075,7.533144965515798,32019768
1996-01-31,7.530889511108398,7.803796525594608,7.431650527094161,7.488036052257324,34765337
1996-02-01,7.700047969818115,7.724857144761784,7.467737886779865,7.467737886779865,18475375
1996-02-02,8.261650085449219,8.356377621861048,7.75868870993117,7.860182663132098,39733722
1996-02-05,8.58417797088623,9.111949345574775,8.277438816506312,8.615753564523503,68921537
1996-02-06,7.8579277992248535,8.683416099717249,7.713579615830433,8.638307675512419,40024042
1996-02-07,8.166922569274902,8.299992891568595,7.736135243074613,7.857928458371141,45350428
1996-02-08,9.353280067443848,9.400643454096304,8.187221301551196,8.209775514112899,114509743
1996-02-09,9.899094581604004,10.059229791753486,9.520182137970666,9.969012178406576,119682955
1996-02-12,9.342001914978027,9.856240355674707,9.202164433574113,9.693849430446658,83759011
1996-02-13,9.346512794494629,9.540480859571671,9.12548136026946,9.292382991350934,72385781
1996-02-14,9.61039924621582,10.014120874053125,9.517925902693339,9.698360368077637,67257097
1996-02-15,9.47732925415039,9.811133294584542,9.314937540216993,9.382600179696992,55699524
1996-02-16,9.278850555419922,9.427708657475124,9.224719988212652,9.427708657475124,36118975
1996-02-19,9.335237503051758,9.515671988291178,9.292384035055564,9.3826008945693,24685188
1996-02-20,8.976621627807617,9.348768394556437,8.85257270555801,9.335235561958505,35231986
1996-02-21,8.976621627807617,8.976621627807617,8.976621627807617,8.976621627807617,0
1996-02-22,9.38034439086914,9.427708540812919,9.179610685508536,9.179610685508536,32953956
1996-02-23,9.299150466918945,9.423199415151137,9.19314504385936,9.360047460152987,29080949
1996-02-26,9.355535507202148,9.648741817915933,9.310427079772923,9.339747710844302,70008010
1996-02-27,9.204423904418945,9.373580534401576,9.134504757995948,9.373580534401576,40272505
1996-02-28,9.29464054107666,9.49086283991424,9.274341286259663,9.427710879725824,33926438
1996-02-29,8.705971717834473,9.247275194348527,8.604476980770347,9.226976706662887,67024663
1996-03-01,8.80521011352539,8.88415062934611,8.642819158503475,8.81648722061236,56079789
1996-03-04,8.760102272033691,8.879639768406014,8.660863263292983,8.796188557402333,36523285
1996-03-05,8.760102272033691,8.760102272033691,8.760102272033691,8.760102272033691,0
1996-03-06,8.922492980957031,8.965346449251285,8.787166924533244,8.818743285309843,24779586
1996-03-07,8.857085227966309,9.084883870727992,8.81874321595024,8.95857996103888,32271794
1996-03-08,8.814229965209961,8.841295630497767,8.694692497561451,8.796186443755353,24870423
